Source,Target,Weight
cnwa,socbizcg,1
annoux,socbizcg,1
sport-schema,socbizcg,2
native-web-apps,socbizcg,1
native-web-apps,annoux,1
native-web-apps,mobindic,1
webscreens,socbizcg,1
webscreens,native-web-apps,2
propertygraphs,socbizcg,2
propertygraphs,sport-schema,1
autowebplatform,socbizcg,2
autowebplatform,mobindic,1
autowebplatform,webscreens,6
webmidi,annoux,1
webmidi,cdl,1
webmidi,native-web-apps,1
ldql,propertygraphs,1
informationarchitecture,socbizcg,1
informationarchitecture,native-web-apps,2
scriptlib,annoux,1
scriptlib,mobindic,1
scriptlib,native-web-apps,4
scriptlib,webscreens,1
scriptlib,webmidi,1
bde-transport,socbizcg,1
bde-transport,sport-schema,1
activitypub,socbizcg,3
activitypub,sport-schema,1
activitypub,native-web-apps,1
activitypub,bde-transport,1
mws,socbizcg,2
mws,cnwa,1
mws,cdl,1
mws,sport-schema,1
mws,informationarchitecture,3
mws,bde-transport,1
mws,activitypub,1
svgopentype,socbizcg,1
svgopentype,annoux,1
svgopentype,cdl,1
svgopentype,native-web-apps,2
svgopentype,webmidi,2
svgopentype,informationarchitecture,1
svgopentype,scriptlib,2
mmarkup,sport-schema,1
speech-api,socbizcg,1
speech-api,annoux,1
speech-api,native-web-apps,2
speech-api,webscreens,1
speech-api,autowebplatform,4
speech-api,webmidi,1
speech-api,informationarchitecture,2
speech-api,scriptlib,2
speech-api,mws,1
speech-api,svgopentype,2
webobservatory,cdl,1
webobservatory,webscreens,1
webobservatory,propertygraphs,1
webobservatory,autowebplatform,1
webobservatory,webmidi,2
webobservatory,informationarchitecture,1
webobservatory,mws,1
webobservatory,svgopentype,1
vxmlcg,socbizcg,1
vxmlcg,cdl,1
vxmlcg,native-web-apps,1
vxmlcg,webmidi,2
vxmlcg,informationarchitecture,2
vxmlcg,mws,1
vxmlcg,svgopentype,2
vxmlcg,speech-api,4
vxmlcg,webobservatory,2
webed,socbizcg,2
webed,cnwa,3
webed,annoux,1
webed,cdl,1
webed,mobindic,3
webed,sport-schema,1
webed,native-web-apps,6
webed,autowebplatform,3
webed,webmidi,1
webed,informationarchitecture,1
webed,scriptlib,4
webed,bde-transport,1
webed,activitypub,1
webed,mws,4
webed,svgopentype,1
webed,speech-api,2
webed,webobservatory,2
webed,vxmlcg,1
whatwg,socbizcg,3
whatwg,annoux,1
whatwg,native-web-apps,5
whatwg,webscreens,4
whatwg,webmidi,2
whatwg,informationarchitecture,2
whatwg,scriptlib,5
whatwg,activitypub,1
whatwg,mws,1
whatwg,svgopentype,3
whatwg,speech-api,2
whatwg,webobservatory,1
whatwg,vxmlcg,1
whatwg,webed,7
bde-societies,socbizcg,1
bde-societies,sport-schema,1
bde-societies,bde-transport,8
bde-societies,activitypub,1
bde-societies,mws,1
bde-societies,webed,1
owled,socbizcg,1
owled,sport-schema,1
owled,native-web-apps,1
owled,informationarchitecture,2
owled,activitypub,1
owled,svgopentype,1
owled,speech-api,1
owled,vxmlcg,1
owled,whatwg,1
timed-text,cdl,1
timed-text,webscreens,1
timed-text,webmidi,1
